,Organisation Code,Name,Address,Postcode,Contact Telephone Number,Number of patients registered at the GP practice,loc,Point,Latitude,Longitude,Altitude
349,E87677,Imperial College Health Centre,"Imperial College Hth Ctr, (Southside,Watts Way), 40 Princes Gardens, London, SW7 1LY",SW7 1LY,020 75846301,7975,"City of Westminster, London, Greater London, England, SW7 1LY, United Kingdom","(51.498654452028035, -0.17201095206244435, 0.0)",51.498654452028035,-0.1720109520624443,0.0
350,E87681,Newton Medical Centre,"The Newton Medical Centre, 14-18 Newton Road, London, W2 5LT",W2 5LT,020 72294578,7692,"City of Westminster, London, Greater London, England, W2 5LT, United Kingdom","(51.51628115696639, -0.19182933813502695, 0.0)",51.51628115696639,-0.1918293381350269,0.0
351,E87691,Westminster School,"Westminster School, 17 Deans Yard, London, SW1P 3PA",SW1P 3PA,020 75892478,3442,"City of Westminster, London, Greater London, England, SW1P 3PA, United Kingdom","(51.498865618179856, -0.12779041772029553, 0.0)",51.498865618179856,-0.1277904177202955,0.0
352,E87694,The Royal Mews Surgery,"The Royal Mews Surgery, Buckingham Palace, London, SW1W 0QH",SW1W 0QH,020 79304832,4914,"City of Westminster, London, Greater London, England, SW1W 0QH, United Kingdom","(51.49876440515086, -0.14522313747275015, 0.0)",51.49876440515087,-0.1452231374727501,0.0
353,E87701,The Abingdon Health Centre,"The Abingdon Health Ctre, 88-92 Earls Court Road, Kensington, London, W8 6EG",W8 6EG,020 77958470,4258,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W8 6EG, United Kingdom","(51.4962877, -0.197129, 0.0)",51.4962877,-0.197129,0.0
354,E87702,The Surgery,"7 Kynance Place, Gloucester Road, London, SW7 4QS",SW7 4QS,020 75813040,2326,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW7 4QS, United Kingdom","(51.497626142355536, -0.1845429949751671, 0.0)",51.497626142355536,-0.1845429949751671,0.0
355,E87706,The Foreland Medical Centre,"The Foreland Medical Ctr, 188 Walmer Road, London, W11 4ES",W11 4ES,020 77272604,4993,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W11 4ES, United Kingdom","(51.51251850948176, -0.21270234504124863, 0.0)",51.51251850948175,-0.2127023450412486,0.0
356,E87711,Royal Hospital Chelsea,"Royal Hospital Chelsea, Royal Hospital Road, London, SW3 4SR",SW3 4SR,020 78815267,6591,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW3 4SR, United Kingdom","(51.48739998652522, -0.15733707453360105, 0.0)",51.48739998652522,-0.1573370745336009,0.0
357,E87714,Soho Square General Practice,"Soho Square General Pract, Ist Floor,1 Frith Street, London, W1D 3HZ",W1D 3HZ,020 34056570,2412,"Soho, London, Islington, Greater London, England, W1D 3HZ, United Kingdom","(51.51452389036539, -0.13191451306014604, 0.0)",51.51452389036539,-0.1319145130601459,0.0
358,E87715,Scarsdale Medical Centre,"Scarsdale Medical Centre, 2 Scarsdale Place, London, W8 5SX",W8 5SX,020 79381887,4038,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W8 5SX, United Kingdom","(51.4994073, -0.1919002, 0.0)",51.499407299999994,-0.19190020000000002,0.0
359,E87720,Kensington Park Medical Centre,"Kensington Park Med/Ctr, 75 Russell Road, London, W14 8HW",W14 8HW,020 73716060,5219,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W14 8HW, United Kingdom","(51.4973245089126, -0.2087874010172307, 0.0)",51.4973245089126,-0.2087874010172307,0.0
360,E87722,Lancaster Gate Medical Centre,"Lancaster Medical Centre, 20-21 Leinster Terrace, London, W2 3ET",W2 3ET,020 74799750,3374,"City of Westminster, London, Greater London, England, W2 3ET, United Kingdom","(51.51175300567456, -0.18336174833113014, 0.0)",51.511753005674564,-0.1833617483311301,0.0
361,E87733,The Exmoor Surgery,"The Exmoor Surgery, Exmoor Street, London, W10 6DZ",W10 6DZ,020 89625166,3325,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W10 6DZ, United Kingdom","(51.5223619870719, -0.21721800127649304, 0.0)",51.522361987071896,-0.217218001276493,0.0
362,E87737,Marylebone Health Centre,"Marylebone Health Centre, 17A Marylebone Road, London, NW1 5LT",NW1 5LT,020 79356328,3104,"City of Westminster, London, Greater London, England, NW1 5LT, United Kingdom","(51.5228381243478, -0.15153914205774996, 0.0)",51.5228381243478,-0.1515391420577499,0.0
363,E87738,Knightsbridge Medical Centre,"Knightsbridge Medical Ctr, 71-75 Pavilion Road, Knightsbridge, London, SW1X 0ET",SW1X 0ET,020 82372600,4168,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW1X 0ET, United Kingdom","(51.49806966256694, -0.1599178949805584, 0.0)",51.49806966256694,-0.1599178949805584,0.0
364,E87739,Millbank Medical Centre,"Millbank Medical Centre, 20 Page Street, London, SW1P 4EN",SW1P 4EN,020 78345502,11244,"City of Westminster, London, Greater London, England, SW1P 4EN, United Kingdom","(51.494030071233425, -0.1302314144722499, 0.0)",51.494030071233425,-0.1302314144722499,0.0
365,E87740,The Doctor Hickey Surgery,"The Cardinal Hume Centre, 3 Arneway Street, London, SW1P 2BG",SW1P 2BG,020 72228593,8551,"City of Westminster, London, Greater London, England, SW1P 2BG, United Kingdom","(51.49574989489851, -0.13150084510393517, 0.0)",51.49574989489851,-0.1315008451039351,0.0
366,E87741,Woodfield Road Medical Centre,"The Medical Centre, 7E Woodfield Road, London, W9 3XZ",W9 3XZ,020 72661449,10716,"City of Westminster, London, Greater London, England, W9 3XZ, United Kingdom","(51.5226289052243, -0.1975707456448891, 0.0)",51.522628905224295,-0.1975707456448891,0.0
367,E87742,The Golborne Medical Centre,"The Golborne Medical Cntr, 12-16 Golborne Road, London, W10 5PE",W10 5PE,020 89644801,6032,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, W10 5PE, United Kingdom","(51.524021421568825, -0.20632729251795456, 0.0)",51.524021421568825,-0.2063272925179545,0.0
368,E87745,Cavendish Health Centre,"Cavendish Health Centre, 53 New Cavendish Street, London, W1G 9TQ",W1G 9TQ,020 74875244,12003,"City of Westminster, London, Greater London, England, W1G 9TQ, United Kingdom","(51.51933063773784, -0.1480920888796291, 0.0)",51.51933063773786,-0.1480920888796291,0.0
369,E87746,Brompton Medical Centre,"Brompton Medical Centre, 237 Old Brompton Road, London, SW5 0EA",SW5 0EA,020 73734102,13592,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW5 0EA, United Kingdom","(51.48943535390551, -0.1898667141040723, 0.0)",51.489435353905506,-0.1898667141040723,0.0
370,E87750,Earls Court Surgery,"269 Old Brompton Road, Earls Court, London, SW5 9JA",SW5 9JA,020 73702643,7302,"Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW5 9JA, United Kingdom","(51.488802837620945, -0.19177847117216273, 0.0)",51.48880283762095,-0.1917784711721627,0.0
371,E87751,Srikrishnamurthy Harrow Road Surgery,"574 Harrow Road, London, W10 4NJ",W10 4NJ,020 89605499,10596,"Queen's Park, City of Westminster, London, Kilburn, Greater London, England, W10 4NJ, United Kingdom","(51.52656302927309, -0.2067031459285196, 0.0)",51.52656302927309,-0.2067031459285196,0.0
372,E87753,Dr Victoria Muir'S Practice,"Belgrave Medical Centre, 13 Pimlico Road, London, SW1W 8NA",SW1W 8NA,020 77305171,7682,"City of Westminster, London, Greater London, England, SW1W 8NA, United Kingdom","(51.49076718127693, -0.15087403168230965, 0.0)",51.49076718127693,-0.1508740316823096,0.0
373,E87754,Wellington Health Centre,"The Wellington Health Ctr, 16 Wellington Road, St John'S Wood, London, NW8 9SP",NW8 9SP,020 77223382,8718,"City of Westminster, London, Greater London, England, NW8 9SP, United Kingdom","(51.53227495804642, -0.1712844449401951, 0.0)",51.532274958046415,-0.1712844449401951,0.0
374,E87755,Queens Park Health Centre,"Queens Park Health Centre, Dart Street, Kensal Green, London, W10 4LY",W10 4LY,020 89649990,6391,"Mozart Estate, City of Westminster, London, Kilburn, Greater London, England, W10 4LY, United Kingdom","(51.53091093373208, -0.20582583824683487, 0.0)",51.53091093373208,-0.2058258382468348,0.0
375,E87756,Ground Floor Lanark Medical Centre,"The Lanark Medical Centre, Ground Floor, 165 Lanark Road, London, W9 1NZ",W9 1NZ,020 73281128,5065,"City of Westminster, London, Greater London, England, W9 1NZ, United Kingdom","(51.53041396352208, -0.1857927092500171, 0.0)",51.53041396352208,-0.1857927092500171,0.0
376,E87762,The Good Practice,"409 Kings Road, London, SW10 0LR",SW10 0LR,020 73511766,8482,"Cremourne Estate, Royal Borough of Kensington and Chelsea, London, Kensington, Greater London, England, SW10 0LR, United Kingdom","(51.4827866125, -0.17783223125, 0.0)",51.4827866125,-0.17783223125,0.0
377,E87768,Kings College Health Centre,"3Rd Floor, Bush House, South East Wing, 300 Strand, London, WC2B 4PJ",WC2B 4PJ,020 78482613,11109,"City of Westminster, London, Greater London, England, WC2B 4PJ, United Kingdom","(51.512741996737, -0.11792244842239794, 0.0)",51.512741996737006,-0.1179224484223979,0.0
378,E87772,Great Chapel Street Medical Centre,"13 Great Chapel Street, Soho, London, W1F 8FL",W1F 8FL,020 74379360,31799,"Soho, London, Islington, Greater London, England, W1F 8FL, United Kingdom","(51.5151727, -0.1342188, 0.0)",51.5151727,-0.1342188,0.0
379,F82001,Halbutt Street Surgery,"2 Halbutt Street, Dagenham, Essex, RM9 5AS",RM9 5AS,020 85921544,18515,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM9 5AS, United Kingdom","(51.54702059046851, 0.14674171795370372, 0.0)",51.54702059046851,0.1467417179537037,0.0
380,F82002,Haiderian Medical Centre,"181 Corbets Tey Road, Upminster, Essex, RM14 2YN",RM14 2YN,01708 225161,3890,"London Borough of Havering, London, Greater London, England, RM14 2YN, United Kingdom","(51.54949885685499, 0.2472939449517476, 0.0)",51.54949885685499,0.2472939449517476,0.0
381,F82003,Dr M Fateh'S Practice,"2 First Avenue, Dagenham, Essex, RM10 9AT",RM10 9AT,020 85924082,17461,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM10 9AT, United Kingdom","(51.52957417836805, 0.15754155129487482, 0.0)",51.529574178368044,0.1575415512948748,0.0
382,F82005,Dr M Goyal'S Practice,"Church Elm Health Centre, Church Elm Lane, Dagenham, Essex, RM10 9RR",RM10 9RR,020 84653000,2800,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM10 9RR, United Kingdom","(51.53999677677136, 0.15683522471102873, 0.0)",51.53999677677135,0.1568352247110287,0.0
383,F82006,Cranham Village Surgery,"143 Ingrebourne Gardens, Cranham, Upminster, Essex, RM14 1BJ",RM14 1BJ,01708 228888,3405,"London Borough of Havering, London, Greater London, England, RM14 1BJ, United Kingdom","(51.56261580455784, 0.2633935810018896, 0.0)",51.56261580455785,0.2633935810018896,0.0
384,F82007,The Green Wood Practice,"89 Gubbins Lane, Harold Wood, Romford, Essex, RM3 0DR",RM3 0DR,01708 346666,6336,"London Borough of Havering, London, Greater London, England, RM3 0DR, United Kingdom","(51.59532619739104, 0.2327200376321948, 0.0)",51.595326197391046,0.2327200376321948,0.0
385,F82008,Maylands Healthcare,"Maylands Healthcare, 300 Upper Rainham Road, Hornchurch, Essex, RM12 4EQ",RM12 4EQ,01708 460180,6415,"London Borough of Havering, London, Greater London, England, RM12 4EQ, United Kingdom","(51.5528765, 0.1906019, 0.0)",51.5528765,0.1906019,0.0
386,F82009,North Street Medical Care,"North Street Medical Care, 274 North Street, Romford, Essex, RM1 4QJ",RM1 4QJ,01708 629733,15032,"London Borough of Havering, London, Greater London, England, RM1 4QJ, United Kingdom","(51.58618009559486, 0.1733445525484186, 0.0)",51.58618009559486,0.1733445525484186,0.0
387,F82010,Petersfield Surgery,"Petersfield Surgery, 70 Petersfield Avenue, Harold Hill,Romford, Essex, RM3 9PD",RM3 9PD,01708 343113,13358,"London Borough of Havering, London, Greater London, England, RM3 9PD, United Kingdom","(51.60572048734526, 0.2327967554692842, 0.0)",51.60572048734526,0.2327967554692842,0.0
388,F82011,St Edwards Medical Centre,"Mawney Medical Centre, 7 St.Edwards Street, Romford, Essex, RM1 3DQ",RM1 3DQ,01708 741096,10446,"London Borough of Havering, London, Greater London, England, RM1 3DQ, United Kingdom","(51.58034082594894, 0.18174068592695108, 0.0)",51.58034082594894,0.18174068592695106,0.0
389,F82012,Five Elms Medical Practice,"Five Elms Health Centre, Five Elms Road, Dagenham, Essex, RM9 5TT",RM9 5TT,020 85171175,8594,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM9 5TT, United Kingdom","(51.55331491032924, 0.1423498701620623, 0.0)",51.55331491032925,0.1423498701620623,0.0
390,F82013,Western Road Medical Centre,"Western Road Medical Ctr, 99 Western Road, Romford, Essex, RM1 3LS",RM1 3LS,01708 775300,14253,"London Borough of Havering, London, Greater London, England, RM1 3LS, United Kingdom","(51.57898373421682, 0.18749237900695678, 0.0)",51.57898373421683,0.1874923790069567,0.0
391,F82014,Kucchai,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",RM3 9SU,01708 343991,9108,"London Borough of Havering, London, Greater London, England, RM3 9SU, United Kingdom","(51.60626624744702, 0.22489474055951086, 0.0)",51.606266247447024,0.2248947405595108,0.0
392,F82015,Hedgemans Medical Centre,"92 Hedgemans Road, Dagenham, Essex, RM9 6HT",RM9 6HT,020 85924242,12922,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM9 6HT, United Kingdom","(51.53975597362085, 0.1432127634052918, 0.0)",51.53975597362086,0.1432127634052918,0.0
393,F82016,Central Park Surgery,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",RM3 9SU,01708 331802,7147,"London Borough of Havering, London, Greater London, England, RM3 9SU, United Kingdom","(51.60626624744702, 0.22489474055951086, 0.0)",51.606266247447024,0.2248947405595108,0.0
394,F82017,St Albans Surgery,"Urswick Medical Centre, Urswick Road, Dagenham, Essex, RM9 6EA",RM9 6EA,020 89844460,14527,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM9 6EA, United Kingdom","(51.53672572005004, 0.13346536071445259, 0.0)",51.536725720050036,0.1334653607144525,0.0
395,F82018,Barking Medical Group Practice,"Barking Group Practice, 130 Upney Lane, Barking, Essex, IG11 9LT",IG11 9LT,020 84774317,8153,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 9LT, United Kingdom","(51.54131512711887, 0.09725284405999561, 0.0)",51.541315127118864,0.0972528440599956,0.0
396,F82019,The Upstairs Surgery,"Ashton Gardens, Chadwell Heath, Romford, Essex, RM6 6RT",RM6 6RT,020 85992435,8579,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM6 6RT, United Kingdom","(51.57371554723814, 0.14010522459356425, 0.0)",51.57371554723814,0.1401052245935642,0.0
397,F82021,The New Medical Centre,"The New Medical Centre, 264 Brentwood Road, Romford, Essex, RM2 5SU",RM2 5SU,01708 478800,5136,"London Borough of Havering, London, Greater London, England, RM2 5SU, United Kingdom","(51.57446584496861, 0.2040166499883403, 0.0)",51.57446584496861,0.2040166499883403,0.0
398,F82022,The Rosewood Medical Centre,"The Rosewood Medical Ctr, 30 Astra Close, Elm Park, Hornchurch, Essex, RM12 5NJ",RM12 5NJ,01708 523168,3812,"London Borough of Havering, London, Greater London, England, RM12 5NJ, United Kingdom","(51.54280099500649, 0.20108664015838834, 0.0)",51.5428009950065,0.2010866401583883,0.0
399,F82023,High Street Surgery,"219 High Street, Hornchurch, Essex, RM11 3XT",RM11 3XT,01708 447747,3587,"London Borough of Havering, London, Greater London, England, RM11 3XT, United Kingdom","(51.56155195915341, 0.22356248203648552, 0.0)",51.561551959153405,0.2235624820364855,0.0
400,F82025,Dr Bk Jaiswal'S Practice,"Julia Engwell Health Ctr., Woodward Road, Dagenham, Essex, RM9 4SR",RM9 4SR,020 85925500,11730,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM9 4SR, United Kingdom","(51.53893446013479, 0.12559533197871775, 0.0)",51.53893446013479,0.1255953319787177,0.0
401,F82027,Dr P Prasad'S Practice,"Faircross Health Centre, 51 Upney Lane, Barking, Essex, IG11 9LD",IG11 9LD,020 85943667,5117,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 9LD, United Kingdom","(51.542861958364256, 0.09624233124105877, 0.0)",51.542861958364256,0.0962423312410587,0.0
402,F82028,Wood Lane Surgery,"39 Wood Lane, Elm Park, Hornchurch, Essex, RM12 5HX",RM12 5HX,01708 450902,8548,"London Borough of Havering, London, Greater London, England, RM12 5HX, United Kingdom","(51.54458196415793, 0.19623235194301517, 0.0)",51.544581964157935,0.1962323519430151,0.0
403,F82030,Lynwood Medical Centre,"Lynwood Medical Centre, 2A-6 Lynwood Drive, Romford, Essex, RM5 3QL",RM5 3QL,01708 208669,3723,"London Borough of Havering, London, Greater London, England, RM5 3QL, United Kingdom","(51.601709945606636, 0.16413646082786254, 0.0)",51.60170994560664,0.1641364608278625,0.0
404,F82031,Dr Sanomi,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex, RM7 0XR",RM7 0XR,01708 728261,13139,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM7 0XR, United Kingdom","(51.56071776563029, 0.1759679649060683, 0.0)",51.560717765630294,0.1759679649060683,0.0
405,F82033,Dr Vm Patel,"9 Glanville Drive, Hornchurch, Essex, RM11 3SZ",RM11 3SZ,01708 442117,5289,"London Borough of Havering, London, Greater London, England, RM11 3SZ, United Kingdom","(51.56111180004745, 0.22874948672932185, 0.0)",51.56111180004746,0.2287494867293218,0.0
406,F82034,Victoria Medical Centre,"Victoria Medical Centre, 1 Queens Road, Barking, Essex, IG11 8GD",IG11 8GD,020 84778760,12437,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 8GD, United Kingdom","(51.54094631809707, 0.07625874152236868, 0.0)",51.54094631809707,0.0762587415223686,0.0
407,F82038,Dr Sz Haider'S Practice,"Valence Medical Centre, 561-563 Valence Avenue, Dagenham, Essex, RM8 3RH",RM8 3RH,020 85929111,15424,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM8 3RH, United Kingdom","(51.55307722463017, 0.13071200619738937, 0.0)",51.55307722463017,0.1307120061973893,0.0
408,F82039,Dr P & S Poologanathan,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex, RM7 0XR",RM7 0XR,0844 4773288,2036,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM7 0XR, United Kingdom","(51.56071776563029, 0.1759679649060683, 0.0)",51.560717765630294,0.1759679649060683,0.0
409,F82040,John Smith Medical Centre,"145-207 Bevan Avenue, Barking, Essex, IG11 9LL",IG11 9LL,020 85949013,10435,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 9LL, United Kingdom","(51.538899012640485, 0.11212478812643305, 0.0)",51.53889901264049,0.112124788126433,0.0
410,F82042,Aurora Medcare,"Thames View Health Centre, Bastable Avenue, Barking, IG11 0LG",IG11 0LG,020 85073056,9617,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 0LG, United Kingdom","(51.527834042975016, 0.10370853712179147, 0.0)",51.52783404297502,0.1037085371217914,0.0
411,F82045,Chowdhury,"Oak Lodge, 6 Oak Road, Harold Wood, Romford, Essex, RM3 0PT",RM3 0PT,01708 342139,11668,"London Borough of Havering, London, Greater London, England, RM3 0PT, United Kingdom","(51.592336609896684, 0.23387282014300062, 0.0)",51.59233660989669,0.2338728201430006,0.0
412,F82051,Laburnum Health Centre,"Laburnum Health Centre, George Crouch Centre, Althorne Way, Dagenham, Essex, RM10 7DF",RM10 7DF,020 85170222,18762,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM10 7DF, United Kingdom","(51.56066181296222, 0.15120746327161652, 0.0)",51.560661812962216,0.1512074632716165,0.0
413,F82053,Upminster Medical Centre,"224-226 St Mary'S Lane, Upminster, Essex, RM14 3DH",RM14 3DH,01708 251407,7043,"London Borough of Havering, London, Greater London, England, RM14 3DH, United Kingdom","(51.55673086165042, 0.25470507171747925, 0.0)",51.55673086165042,0.2547050717174792,0.0
414,F82055,Hornchurch Healthcare,"The Surgery, 58B Billet Lane, Hornchurch, Essex, RM11 1XA",RM11 1XA,01708 440187,5474,"London Borough of Havering, London, Greater London, England, RM11 1XA, United Kingdom","(51.56688985800682, 0.21901784455248072, 0.0)",51.56688985800682,0.2190178445524807,0.0
415,F82604,Marks Gate Health Centre,"Marks Gate Health Centre, Lawn Farm Grove, Chadwell Heath, Romford, Essex, RM6 5LL",RM6 5LL,020 89180560,10226,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM6 5LL, United Kingdom","(51.584643685635136, 0.1370388145068776, 0.0)",51.584643685635136,0.1370388145068776,0.0
416,F82607,South Hornchurch Medical Practice,"South Hornchurh Hlth Ctr, 106 South End Road, Rainham, Essex, RM13 7XJ",RM13 7XJ,01708 553120,9041,"London Borough of Havering, London, Greater London, England, RM13 7XJ, United Kingdom","(51.531226464720625, 0.191142336940379, 0.0)",51.53122646472063,0.191142336940379,0.0
417,F82609,Dr Pm Patel,"24 Suttons Avenue, Hornchurch, Essex, RM12 4LF",RM12 4LF,01708 442711,13536,"London Borough of Havering, London, Greater London, England, RM12 4LF, United Kingdom","(51.55631875070753, 0.2192533870605037, 0.0)",51.55631875070753,0.2192533870605037,0.0
418,F82610,Dr Gupta,"206 Mawney Road, Romford, Essex, RM7 8BU",RM7 8BU,01708 739379,3784,"London Borough of Havering, London, Greater London, England, RM7 8BU, United Kingdom","(51.58291388056979, 0.1646866385005692, 0.0)",51.58291388056979,0.1646866385005692,0.0
419,F82612,The White House Surgery,"12 Movers Lane, Barking, Essex, IG11 7UN",IG11 7UN,020 85944042,2068,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 7UN, United Kingdom","(51.5340042904368, 0.0881643963480614, 0.0)",51.53400429043679,0.0881643963480614,0.0
420,F82619,Harlow Road Surgery,"The Surgery, 1 Harlow Road, Rainham, Essex, RM13 7UP",RM13 7UP,01708 552072,9577,"London Borough of Havering, London, Greater London, England, RM13 7UP, United Kingdom","(51.53193513391447, 0.18641823178502515, 0.0)",51.53193513391447,0.1864182317850251,0.0
421,F82621,Dewey Practice (Dr Christopher),"281 Oxlow Lane, Dagenham, Essex, RM10 7YU",RM10 7YU,020 85920049,5157,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM10 7YU, United Kingdom","(51.55148386530566, 0.15883781997880894, 0.0)",51.551483865305656,0.1588378199788089,0.0
422,F82624,Upminster Bridge Surgery,"Upminster Bridge Surgery, 126 Upminster Road, Hornchurch, Essex, RM12 6PL",RM12 6PL,01708 440642,2454,"London Borough of Havering, London, Greater London, England, RM12 6PL, United Kingdom","(51.5582655, 0.2347689, 0.0)",51.55826550000001,0.23476889999999997,0.0
423,F82625,Abbey Medical Centre,"Abbey Medical Centre, 1 Harpour Road, Barking, Essex, IG11 8RJ",IG11 8RJ,020 80908106,3163,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 8RJ, United Kingdom","(51.542268752153696, 0.07821353447282473, 0.0)",51.5422687521537,0.0782135344728247,0.0
424,F82627,Dr Abdullah,"Rainham Health Centre, Upminster Road South, Rainham, Essex, RM13 9AB",RM13 9AB,01708 796579,2813,"London Borough of Havering, London, Greater London, England, RM13 9AB, United Kingdom","(51.519362307325935, 0.19704494639028075, 0.0)",51.519362307325935,0.1970449463902807,0.0
425,F82630,Chase Cross Medical Centre,"13-15 Chase Cross Road, Collier Row, Romford, Essex, RM5 3PJ",RM5 3PJ,01708 749918,10379,"London Borough of Havering, London, Greater London, England, RM5 3PJ, United Kingdom","(51.6006999, 0.1637113, 0.0)",51.6006999,0.1637112999999999,0.0
426,F82634,Heathway Medical Centre,"Broad Street Resource Ctr, Moreland Road, Dagenham, Essex, RM10 9HU",RM10 9HU,020 85921771,3204,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM10 9HU, United Kingdom","(51.535032676982325, 0.15224377800123917, 0.0)",51.535032676982325,0.1522437780012391,0.0
427,F82638,Modern Medical Centre,"The Surgery, 195 Rush Green Road, Romford, Essex, RM7 0PX",RM7 0PX,01708 741872,5998,"London Borough of Havering, London, Greater London, England, RM7 0PX, United Kingdom","(51.56541786376415, 0.1775920136940474, 0.0)",51.565417863764154,0.1775920136940474,0.0
428,F82642,Gables Surgery,"The Gables Surgery, Markyate Road, Dagenham, Essex, RM8 2LD",RM8 2LD,020 36675410,6606,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM8 2LD, United Kingdom","(51.54570200985384, 0.11786281975410665, 0.0)",51.54570200985384,0.1178628197541066,0.0
429,F82647,Dr R Chibber'S Practice,"7 Salisbury Avenue, Barking, Essex, IG11 9XQ",IG11 9XQ,0844 4778704,5593,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 9XQ, United Kingdom","(51.5388098625485, 0.08374443854712947, 0.0)",51.538809862548504,0.0837444385471294,0.0
430,F82648,Ingrebourne Medical Centre,"135 Straight Road, Harold Hill, Romford, Essex, RM3 7JJ",RM3 7JJ,01708 372021,10929,"London Borough of Havering, London, Greater London, England, RM3 7JJ, United Kingdom","(51.600305235715204, 0.2105528795578518, 0.0)",51.6003052357152,0.2105528795578518,0.0
431,F82649,Berwick Surgery,"Berwick Surgery, 17 Berwick Road, Rainham, Essex, RM13 9QU",RM13 9QU,01708 520830,2912,"London Borough of Havering, London, Greater London, England, RM13 9QU, United Kingdom","(51.5271741340917, 0.21394306875735092, 0.0)",51.5271741340917,0.2139430687573509,0.0
432,F82650,Dr Aa Ansari'S Practice,"364-370 Ripple Road, Barking, Essex, IG11 9RS",IG11 9RS,020 89113777,3392,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, IG11 9RS, United Kingdom","(51.53542367075752, 0.09429997111878767, 0.0)",51.535423670757524,0.0942999711187876,0.0
433,F82660,Tulasi Medical Centre,"Tulasi Medical Centre, 10 Bennetts Castle Lane, Dagenham, Essex, RM8 3XU",RM8 3XU,020 85901773,2147,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM8 3XU, United Kingdom","(51.56100480432894, 0.12448913541562362, 0.0)",51.56100480432894,0.1244891354156236,0.0
434,F82661,Green Lane Surgery,"872 Green Lane, Dagenham, Essex, RM8 1BX",RM8 1BX,020 85997151,20507,"London Borough of Barking and Dagenham, London, Romford, Greater London, England, RM8 1BX, United Kingdom","(51.56136872920266, 0.13279695616478143, 0.0)",51.561368729202655,0.1327969561647814,0.0
435,F82663,Dr Marks Practice,"107 Brentwood Road, Romford, Essex, RM1 2SB",RM1 2SB,01708 740244,12889,"London Borough of Havering, London, Greater London, England, RM1 2SB, United Kingdom","(51.572552578987974, 0.19237890237107386, 0.0)",51.57255257898797,0.1923789023710738,0.0
436,F82666,Rahman & Tsoi,"The Surgery, 482 South End Road, Hornchurch, Essex, RM12 5PA",RM12 5PA,01708 476036,1061,"London Borough of Havering, London, Greater London, England, RM12 5PA, United Kingdom","(51.547230796581715, 0.20404457027934986, 0.0)",51.547230796581715,0.2040445702793498,0.0
437,F82670,Abbamoor Surgery,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex, RM3 9SU",RM3 9SU,01708 341188,5606,"London Borough of Havering, London, Greater London, England, RM3 9SU, United Kingdom","(51.60626624744702, 0.22489474055951086, 0.0)",51.606266247447024,0.2248947405595108,0.0
438,F82671,Prasad,"137 Straight Road, Harold Hill, Romford, Essex, RM3 7JJ",RM3 7JJ,01708 343281,2227,"London Borough of Havering, London, Greater London, England, RM3 7JJ, United Kingdom","(51.600305235715204, 0.2105528795578518, 0.0)",51.6003052357152,0.2105528795578518,0.0
