,Organisation Code,Name,Postcode,Full Address,Number of patients registered at GP practices in London,loc,Point,Latitude,Longitude,Altitude
283,E86018,Townfield Doctors Surgery,UB3 3DZ,"Hayes Community Campus, 34 College Way, Hayes, Middlesex",13829,"Hayes, Kent, GB, UB3 3DZ","(51.515826, -0.411186, 0.0)",51.515826,-0.411186,0.0
284,E86019,The Warren Practice,UB4 0SF,"The Warren Practice, The Warren, Uxbridge Road, Hayes, Middlesex",25107,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
285,E86020,Yeading Court Surgery,UB4 9AJ,"1-2 Yeading Court, Masefield Lane, Hayes, Middlesex",12291,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
286,E86022,The Abbotsbury Practice,HA5 1TG,"Eastcote Health Centre, Abbotsbury Gardens, Eastcote, Middlesex",14722,"Pinner, Harrow, GB, HA5 1TG","(51.57932, -0.397268, 0.0)",51.57932,-0.397268,0.0
287,E86024,King Edwards Medical Centre,HA4 7AE,"King Edwards Medical Ctr, 19 King Edward'S Road, Ruislip, Middlesex",12584,"Ruislip, Hillingdon, GB, HA4 7AE","(51.574584, -0.428043, 0.0)",51.574584,-0.428043,0.0
288,E86026,Parkview Surgery,UB8 3LA,"60 West Drayton Road, Hillingdon, Uxbridge, Middlesex",6682,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
289,E86027,Otterfield Medical Centre,UB7 8PE,"Otterfield Medical Centre, 25 Otterfield Rd,Yiewsley, West Drayton, Middlesex",15867,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
290,E86028,Eastbury Surgery,HA6 3BG,"Eastbury Surgery, 3 Eastbury Road, Northwood, Middlesex",15721,"Northwood, Hillingdon, GB, HA6 3BG","(51.612035, -0.423846, 0.0)",51.612035,-0.423846,0.0
291,E86029,Cedar Brook Practice,UB4 8DD,"The Cedar Brook Practice, 11 Kingshill Close, Hayes, Middlesex",7941,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
292,E86030,Brunel Medical Centre,UB8 3PH,"Brunel Medical Centre, Brunel University, Kingston Lane,Uxbridge, Middlesex",15084,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
293,E86033,St Martins Medical Centre,HA4 8BE,"St.Martin'S Medical Ctr., 21 Eastcote Road, Ruislip, Middlesex",11296,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
294,E86034,Church Road Surgery,UB8 3NA,"Church Road Surgery, 4A Church Road, Cowley, Middlesex",7656,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
295,E86036,Hillingdon Health Centre,UB10 9QF,"Hillingdon Health Centre, 4 Freezeland Way, Hillingdon, Middlesex",11862,"Uxbridge, Hillingdon, GB, UB10 9QF","(51.551189, -0.44783, 0.0)",51.551189,-0.44783,0.0
296,E86038,Glendale Medical Centre,UB3 5DA,"155 High St, Harlington, Hayes, Middlesex",7313,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
297,E86041,Acre Surgery,HA6 1TQ,"Acre Surgery, Neal Close, Acre Way, Northwood, Middlesex",8675,"Northwood, Hillingdon, GB, HA6 1TQ","(51.604477, -0.41153, 0.0)",51.604477,-0.41153,0.0
298,E86042,The High Street Practice,UB7 7DP,"Yiewsley Health Centre, 20 High Street, Yiewsley, Middlesex",10765,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
299,E86605,Ladygate Lane Medical Practice,HA4 7QU,"22 Ladygate Lane, Ruislip, Middlesex",14560,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
300,E86609,North Hyde Road Surgery,UB3 4NS,"167 North Hyde Road, Hayes, Middlesex",8735,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
301,E86610,Willow Tree Surgery,UB4 9NS,"The Willow Tree Surgery, 2 Jollys Lane, Hayes, Middlesex",13778,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
302,E86612,Shakespeare Health Centre,UB3 1NY,"Elers Road Clinic, Elers Road, Hayes, Middlesex",13103,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
303,E86615,Acrefield Surgery,HA4 0QR,"700 Field End Road, South Ruislip, Middlesex",8982,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
304,E86618,Carepoint Practice,HA6 1TQ,"Northwood Health Centre, Neal Close, Acre Way, Northwood, Middlesex",6271,"Northwood, Hillingdon, GB, HA6 1TQ","(51.604477, -0.41153, 0.0)",51.604477,-0.41153,0.0
305,E86619,Wallasey Medical Centre,UB10 8SA,"1 Wallasey Crescent, Ickenham, Middlesex",4299,"Uxbridge, Hillingdon, GB, UB10 8SA","(51.566926, -0.451984, 0.0)",51.566926,-0.451984,0.0
306,E86620,West London Medical Centre,UB8 3NG,"West London Medical Ctr, 20 Pield Heath Road, Hillingdon, Middlesex",15119,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
307,E86625,Kincora Doctors Surgery,UB3 3HG,"Kincora, Coldharbour Lane, Hayes, Middlesex",2341,"Hayes, Kent, GB, UB3 3HG","(51.511667, -0.412181, 0.0)",51.511667,-0.412181,0.0
308,E86626,Queens Walk Medical Centre,HA4 0NT,"The Medical Centre, 69 Queens Walk, Ruislip, Middlesex",2600,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
309,E86629,Dr Mlr Siddiqui'S Practice,HA4 6TA,"21 Walnut Way, South Ruislip, Middlesex",8865,"Ruislip, Hillingdon, GB, HA4 6TA","(51.552012, -0.399396, 0.0)",51.552012,-0.399396,0.0
310,E86632,Acorn Medical Centre,UB10 9JN,"Acorn Medical Centre, 149 Long Lane, Hillingdon, Middlesex",6283,"Uxbridge, Hillingdon, GB, UB10 9JN","(51.542328, -0.451665, 0.0)",51.542328,-0.451665,0.0
311,E86637,Heathrow Medical Centre,UB3 5AB,"Heathrow Medical Centre, 1 St.Peter'S Way, Harlington, Middlesex",4685,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
312,E86640,Southcote Clinic,HA4 7LW,"Southcote Clinic, Southcote Rise, Ruislip, Middlesex",4940,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
313,E87002,Victoria Medical Centre,SW1V 1SN,"Victoria Medical Centre, 29 Upper Tachbrook Street, London",6585,"London, Westminster, GB, SW1V 1SN","(51.492792, -0.138814, 0.0)",51.492792,-0.138814,0.0
314,E87003,North Kensington Medical Centre,W10 6NX,"North Kensington Med Ctre, St.Quintin Avenue, London",1266,"London, Westminster, GB, W10 6NX","(51.519209, -0.220301, 0.0)",51.519209,-0.220301,0.0
315,E87004,The Redcliffe Surgery,SW10 9DT,"The Redcliffe Surgery, 10 Redcliffe Street, London",2587,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
316,E87005,Belgravia Surgery,SW1W 9PY,"The Belgravia Surgery, 24-26 Ecclestone Street, Belgravia, London",2228,"London, Westminster, GB, SW1W 9PY","(51.495005, -0.148535, 0.0)",51.495005,-0.148535,0.0
317,E87006,Little Venice Medical Centre,W2 1ND,"Little Venice Medical Ctr, 2 Crompton Street, London",2776,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
318,E87007,Westbourne Grove Medical Centre,W11 2SE,"241 Westbourne Grove, London",1883,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
319,E87008,Paddington Green Health Centre,W2 1LQ,"Paddington Green Hlth Ctr, 4 Princess Louise Close, London",8261,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
320,E87009,The Garway Medical Practice,W2 6HF,"Pickering House, Hallfield Estate, London",2733,"London, Westminster, GB, W2 6HF","(51.515394, -0.18547, 0.0)",51.515394,-0.18547,0.0
321,E87010,Maida Vale Medical Centre,W9 1HT,"Maida Vale Health Centre, 40 Biddulph Mansions, 210 Elgin Avenue, London",4255,"London, Westminster, GB, W9 1HT","(51.528421, -0.188772, 0.0)",51.528421,-0.188772,0.0
322,E87011,Lisson Grove Health Centre,NW8 8EG,"Lisson Grove Health Ctr., Gateforth Street, London",4112,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
323,E87013,Stanhope Mews Surgery,SW7 5RB,"7 Stanhope Mews West, London",1055,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
324,E87016,Holland Park Surgery,W8 7RX,"Lower Ground Floor, 12 Phillimore Walk, London",8672,"London, Westminster, GB, W8 7RX","(51.501458, -0.194438, 0.0)",51.501458,-0.194438,0.0
325,E87021,Shirland Medical,W10 4LD,"Queens Park Health Centre, Dart Street, London",3416,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
326,E87024,The Golborne Medical Centre,W10 5PG,"12-16 Golborne Road, London",5061,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
327,E87026,Meanwhile Garden Medical Centre,W10 5NT,"Meanwhile Garden Med Ctr, Unit 5, 1-31 Elkstone Road, London",3333,"London, Westminster, GB, W10 5NT","(51.522237, -0.202971, 0.0)",51.522237,-0.202971,0.0
328,E87029,Portland Road Practice,W11 4LA,"Portland Road Practice, 16 Portland Road, London",5906,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
329,E87034,Pimlico Health At The Marven Surgery,SW1V 3EB,"Marven Medical Centre, 46-50 Lupus Street, Westminster, London",6831,"London, Westminster, GB, SW1V 3EB","(51.48845, -0.137752, 0.0)",51.48845,-0.137752,0.0
330,E87037,Connaught Square Practice,W2 2HL,"41 Connaught Square, London",1593,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
331,E87038,Elgin Clinic,W9 3QT,"40 Elgin Avenue, London",11885,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
332,E87043,Emperor'S Gate Centre For Health,SW7 4HJ,"First Floor, 49 Emperor'S Gate, London",9492,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
333,E87045,Covent Garden Medical Centre,WC2H 9AA,"Covent Garden Medical Ctr, Eric Knapp, 47 Shorts Gardens, London",6327,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
334,E87046,The Randolph Surgery,W9 1NH,"The Randolph Surgery, 235A Elgin Avenue, London",14288,"London, Westminster, GB, W9 1NH","(51.529821, -0.186828, 0.0)",51.529821,-0.186828,0.0
335,E87047,Earls Court Medical Centre,SW5 9AD,"Earls Court Medical Ctr, 248 Earls Court Road, London",12799,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
336,E87048,Rosary Garden Surgery,SW7 4NQ,"45 Rosary Gardens, London",9444,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
337,E87052,Crompton Medical Centre,W2 1ND,"Crompton Medical Centre, 1 Crompton Street, London",9823,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
338,E87061,The Pembridge Villas Surgery,W11 3EP,"The Surgery, 45A Pembridge Villas, Nottinghill Gate, London",8479,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
339,E87063,Kings Road Medical Centre,SW10 0UD,"Kings Road Medical Centre, 529 Kings Road, Chelsea, London",8934,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
340,E87065,The Notting Hill Medical Centre,W11 2EH,"The Notting Hill Med Ctr, 14 Codrington Mews, London",8690,"London, Westminster, GB, W11 2EH","(51.514855, -0.207168, 0.0)",51.514855,-0.207168,0.0
341,E87066,Fitzrovia Medical Centre,W1T 6EU,"Fitzrovia Medical Centre, 31 Fitzroy Square, London",7091,"London, Westminster, GB, W1T 6EU","(51.522433, -0.14056, 0.0)",51.522433,-0.14056,0.0
342,E87067,Colville Health Centre,W11 1PA,"Colville Health Centre, 51 Kensington Park Road, London",8759,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
343,E87069,Soho Centre For Health And Care,W1D 3QS,"Soho Ctr For Hlth & Care, 1St Floor, 30 Soho Square, London",4320,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
344,E87070,Crawford Street Surgery,W1H 2HJ,"The Crawford St Surgery, 95-97 Crawford Street, London",9281,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
345,E87609,St Johns Wood Medical Practice,NW8 9NH,"Brampton House, 60 Grove End Road, London",4342,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
346,E87637,Grand Union Health Centre,W2 5EH,"209 Harrow Road, London",8833,"London, Westminster, GB, W2 5EH","(51.520065, -0.190977, 0.0)",51.520065,-0.190977,0.0
347,E87648,Mayfair Medical Centre,W1K 5LS,"Mayfair Medical Centre, 3-5 Weighhouse Street, London",9085,"London, Westminster, GB, W1K 5LS","(51.513538, -0.150147, 0.0)",51.513538,-0.150147,0.0
348,E87663,Third Floor Lanark Road Medical Centre,W9 1NZ,"165 Lanark Road, 3Rd Floor Medical Centre, London",3385,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
349,E87665,The Chelsea Practice,SW3 5RR,"The Chelsea Practice, The Violet Melchett Clin., Flood Walk, London",9128,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
350,E87677,Imperial College Health Centre,SW7 1LY,"Imperial College Hth Ctr, (Southside,Watts Way), 40 Princes Gardens, London",7913,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
351,E87681,Newton Medical Centre,W2 5LT,"The Newton Medical Centre, 14-18 Newton Road, London",7695,"London, Westminster, GB, W2 5LT","(51.516306, -0.191559, 0.0)",51.516306,-0.191559,0.0
352,E87691,Westminster School,SW1P 3PA,"Westminster School, 17 Deans Yard, London",3451,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
353,E87694,The Royal Mews Surgery,SW1W 0QH,"The Royal Mews Surgery, Buckingham Palace, London",4925,"London, Westminster, GB, SW1W 0QH","(51.498766, -0.145198, 0.0)",51.498766,-0.145198,0.0
354,E87701,The Abingdon Health Centre,W8 6EG,"The Abingdon Health Ctre, 88-92 Earls Court Road, Kensington, London",4219,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
355,E87702,The Surgery,SW7 4QS,"7 Kynance Place, Gloucester Road, London",2313,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
356,E87706,The Foreland Medical Centre,W11 4ES,"The Foreland Medical Ctr, 188 Walmer Road, London",5011,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
357,E87711,Royal Hospital Chelsea,SW3 4SR,"Royal Hospital Chelsea, Royal Hospital Road, London",6552,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
358,E87714,Soho Square General Practice,W1D 3HZ,"Soho Square General Pract, Ist Floor,1 Frith Street, London",2399,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
359,E87715,Scarsdale Medical Centre,W8 5SX,"Scarsdale Medical Centre, 2 Scarsdale Place, London",4035,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
360,E87720,Kensington Park Medical Centre,W14 8HW,"Kensington Park Med/Ctr, 75 Russell Road, London",5204,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
361,E87722,Lancaster Gate Medical Centre,W2 3ET,"Lancaster Medical Centre, 20-21 Leinster Terrace, London",3341,"London, Westminster, GB, W2 3ET","(51.5118, -0.18335, 0.0)",51.5118,-0.18335,0.0
362,E87733,The Exmoor Surgery,W10 6DZ,"The Exmoor Surgery, Exmoor Street, London",3285,"London, Westminster, GB, W10 6DZ","(51.522439, -0.217393, 0.0)",51.522439,-0.217393,0.0
363,E87737,Marylebone Health Centre,NW1 5LT,"Marylebone Health Centre, 17A Marylebone Road, London",3025,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
364,E87738,Knightsbridge Medical Centre,SW1X 0ET,"Knightsbridge Medical Ctr, 71-75 Pavilion Road, Knightsbridge, London",4078,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
365,E87739,Millbank Medical Centre,SW1P 4EN,"Millbank Medical Centre, 20 Page Street, London",11271,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
366,E87740,The Doctor Hickey Surgery,SW1P 2BG,"The Cardinal Hume Centre, 3 Arneway Street, London",8544,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
367,E87741,Woodfield Road Medical Centre,W9 3XZ,"The Medical Centre, 7E Woodfield Road, London",10685,"London, Westminster, GB, W9 3XZ","(51.52272, -0.197561, 0.0)",51.52272,-0.197561,0.0
368,E87742,The Golborne Medical Centre,W10 5PE,"The Golborne Medical Cntr, 12-16 Golborne Road, London",6019,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
369,E87745,Cavendish Health Centre,W1G 9TQ,"Cavendish Health Centre, 53 New Cavendish Street, London",11919,"London, Westminster, GB, W1G 9TQ","(51.519332, -0.148067, 0.0)",51.519332,-0.148067,0.0
370,E87746,Brompton Medical Centre,SW5 0EA,"Brompton Medical Centre, 237 Old Brompton Road, London",13571,"London, Westminster, GB, SW5 0EA","(51.489426, -0.189786, 0.0)",51.489426,-0.189786,0.0
371,E87750,Earls Court Surgery,SW5 9JA,"269 Old Brompton Road, Earls Court, London",7242,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
372,E87751,Srikrishnamurthy Harrow Road Surgery,W10 4NJ,"574 Harrow Road, London",10548,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
373,E87753,Dr Victoria Muir'S Practice,SW1W 8NA,"Belgrave Medical Centre, 13 Pimlico Road, London",7642,"London, Westminster, GB, SW1W 8NA","(51.490652, -0.151333, 0.0)",51.490652,-0.151333,0.0
374,E87754,Wellington Health Centre,NW8 9SP,"The Wellington Health Ctr, 16 Wellington Road, St John'S Wood, London",8673,"London, Westminster, GB, NW8 9SP","(51.532395, -0.171355, 0.0)",51.532395,-0.171355,0.0
375,E87755,Queens Park Health Centre,W10 4LY,"Queens Park Health Centre, Dart Street, Kensal Green, London",6368,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
376,E87756,Ground Floor Lanark Medical Centre,W9 1NZ,"The Lanark Medical Centre, Ground Floor, 165 Lanark Road, London",4998,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
377,E87762,The Good Practice,SW10 0LR,"409 Kings Road, London",8481,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
378,E87768,Kings College Health Centre,WC2B 4PJ,"3Rd Floor, Bush House, South East Wing, 300 Strand, London",11112,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
379,E87772,Great Chapel Street Medical Centre,W1F 8FL,"13 Great Chapel Street, Soho, London",31686,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
380,F82001,Halbutt Street Surgery,RM9 5AS,"2 Halbutt Street, Dagenham, Essex",18798,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
381,F82002,Haiderian Medical Centre,RM14 2YN,"181 Corbets Tey Road, Upminster, Essex",3888,"Upminster, Essex, GB, RM14 2YN","(51.54951, 0.247308, 0.0)",51.54951,0.247308,0.0
382,F82003,Dr M Fateh'S Practice,RM10 9AT,"2 First Avenue, Dagenham, Essex",17465,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
383,F82005,Dr M Goyal'S Practice,RM10 9RR,"Church Elm Health Centre, Church Elm Lane, Dagenham, Essex",2751,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
384,F82006,Cranham Village Surgery,RM14 1BJ,"143 Ingrebourne Gardens, Cranham, Upminster, Essex",3399,"Upminster, Essex, GB, RM14 1BJ","(51.562627, 0.263407, 0.0)",51.562627,0.263407,0.0
385,F82007,The Green Wood Practice,RM3 0DR,"89 Gubbins Lane, Harold Wood, Romford, Essex",6243,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
386,F82008,Maylands Healthcare,RM12 4EQ,"Maylands Healthcare, 300 Upper Rainham Road, Hornchurch, Essex",6313,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
387,F82009,North Street Medical Care,RM1 4QJ,"North Street Medical Care, 274 North Street, Romford, Essex",14987,"Romford, Essex, GB, RM1 4QJ","(51.586199, 0.173459, 0.0)",51.586199,0.173459,0.0
388,F82010,Petersfield Surgery,RM3 9PD,"Petersfield Surgery, 70 Petersfield Avenue, Harold Hill,Romford, Essex",13291,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
389,F82011,St Edwards Medical Centre,RM1 3DQ,"Mawney Medical Centre, 7 St.Edwards Street, Romford, Essex",10358,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
390,F82012,Five Elms Medical Practice,RM9 5TT,"Five Elms Health Centre, Five Elms Road, Dagenham, Essex",8565,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
391,F82013,Western Road Medical Centre,RM1 3LS,"Western Road Medical Ctr, 99 Western Road, Romford, Essex",14281,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
392,F82014,Kucchai,RM3 9SU,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex",9067,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
393,F82015,Hedgemans Medical Centre,RM9 6HT,"92 Hedgemans Road, Dagenham, Essex",12903,"Dagenham, Essex, GB, RM9 6HT","(51.539765, 0.143298, 0.0)",51.539765,0.143298,0.0
394,F82016,Central Park Surgery,RM3 9SU,"Harold Hill Health Centre, Gooshays Drive, Harold Hill, Romford, Essex",7142,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
395,F82017,St Albans Surgery,RM9 6EA,"Urswick Medical Centre, Urswick Road, Dagenham, Essex",14521,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
396,F82018,Barking Medical Group Practice,IG11 9LT,"Barking Group Practice, 130 Upney Lane, Barking, Essex",8143,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
397,F82019,The Upstairs Surgery,RM6 6RT,"Ashton Gardens, Chadwell Heath, Romford, Essex",8522,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
398,F82021,The New Medical Centre,RM2 5SU,"The New Medical Centre, 264 Brentwood Road, Romford, Essex",5148,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
399,F82022,The Rosewood Medical Centre,RM12 5NJ,"The Rosewood Medical Ctr, 30 Astra Close, Elm Park, Hornchurch, Essex",3811,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
400,F82023,High Street Surgery,RM11 3XT,"219 High Street, Hornchurch, Essex",3588,"Hornchurch, Essex, GB, RM11 3XT","(51.561597, 0.223664, 0.0)",51.561597,0.223664,0.0
401,F82025,Dr Bk Jaiswal'S Practice,RM9 4SR,"Julia Engwell Health Ctr., Woodward Road, Dagenham, Essex",11716,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
402,F82027,Dr P Prasad'S Practice,IG11 9LD,"Faircross Health Centre, 51 Upney Lane, Barking, Essex",4427,"Barking, Suffolk, GB, IG11 9LD","(51.542872, 0.096284, 0.0)",51.542872,0.096284,0.0
403,F82028,Wood Lane Surgery,RM12 5HX,"39 Wood Lane, Elm Park, Hornchurch, Essex",8539,"Hornchurch, Essex, GB, RM12 5HX","(51.544114, 0.196015, 0.0)",51.544114,0.196015,0.0
404,F82030,Lynwood Medical Centre,RM5 3QL,"Lynwood Medical Centre, 2A-6 Lynwood Drive, Romford, Essex",3719,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
405,F82031,Dr Sanomi,RM7 0XR,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex",13065,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
406,F82033,Dr Vm Patel,RM11 3SZ,"9 Glanville Drive, Hornchurch, Essex",5286,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
407,F82034,Victoria Medical Centre,IG11 8GD,"Victoria Medical Centre, 1 Queens Road, Barking, Essex",12396,"Barking, Suffolk, GB, IG11 8GD","(51.540961, 0.07631, 0.0)",51.540961,0.07631,0.0
408,F82038,Dr Sz Haider'S Practice,RM8 3RH,"Valence Medical Centre, 561-563 Valence Avenue, Dagenham, Essex",15313,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
409,F82039,Dr P & S Poologanathan,RM7 0XR,"Rush Green Medical Centre, 261 Dagenham Road, Romford, Essex",2038,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
410,F82040,John Smith Medical Centre,IG11 9LL,"145-207 Bevan Avenue, Barking, Essex",10384,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
411,F82042,Aurora Medcare,IG11 0LG,"Thames View Health Centre, Bastable Avenue, Barking",9566,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
412,F82045,Chowdhury,RM3 0PT,"Oak Lodge, 6 Oak Road, Harold Wood, Romford, Essex",11593,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
413,F82051,Laburnum Health Centre,RM10 7DF,"Laburnum Health Centre, George Crouch Centre, Althorne Way, Dagenham, Essex",19106,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
414,F82053,Upminster Medical Centre,RM14 3DH,"224-226 St Mary'S Lane, Upminster, Essex",7016,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
415,F82055,Hornchurch Healthcare,RM11 1XA,"The Surgery, 58B Billet Lane, Hornchurch, Essex",5464,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
416,F82604,Marks Gate Health Centre,RM6 5LL,"Marks Gate Health Centre, Lawn Farm Grove, Chadwell Heath, Romford, Essex",10043,"Romford, Essex, GB, RM6 5LL","(51.584636, 0.137051, 0.0)",51.584636,0.137051,0.0
417,F82607,South Hornchurch Medical Practice,RM13 7XJ,"South Hornchurh Hlth Ctr, 106 South End Road, Rainham, Essex",9048,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
418,F82609,Dr Pm Patel,RM12 4LF,"24 Suttons Avenue, Hornchurch, Essex",13455,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
419,F82610,Dr Gupta,RM7 8BU,"206 Mawney Road, Romford, Essex",3802,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
420,F82612,The White House Surgery,IG11 7UN,"12 Movers Lane, Barking, Essex",2045,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
421,F82619,Harlow Road Surgery,RM13 7UP,"The Surgery, 1 Harlow Road, Rainham, Essex",9552,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
422,F82621,Dewey Practice (Dr Christopher),RM10 7YU,"281 Oxlow Lane, Dagenham, Essex",5137,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
423,F82624,Upminster Bridge Surgery,RM12 6PL,"Upminster Bridge Surgery, 126 Upminster Road, Hornchurch, Essex",2451,"Hornchurch, Essex, GB, RM12 6PL","(51.558949, 0.235264, 0.0)",51.558949,0.235264,0.0
424,F82625,Abbey Medical Centre,IG11 8RJ,"Abbey Medical Centre, 1 Harpour Road, Barking, Essex",3165,US,"(39.390897, -99.066067, 0.0)",39.390897,-99.066067,0.0
